tweet_id,tweet,sentiment,hashtags,subjectivity,polarity,negative,positive,neutral,compound,pos
6398,[0. 0. 0. ... 0. 0. 0.],3,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.247,0.753,0.5574,"[0.         0.         0.         0.         0.         0.11764089
 0.         0.         0.         0.93642094 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.33056988 0.         0.         0.         0.        ]"
2369,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.60192463
 0.         0.         0.         0.79855291 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
3944,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.11840094
 0.         0.         0.         0.52359499 0.57801907 0.
 0.         0.         0.         0.         0.         0.56672726
 0.         0.         0.         0.23778914 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
6909,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.35528453
 0.         0.         0.         0.62845851 0.         0.20794612
 0.         0.51900199 0.23550837 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.33278215 0.         0.         0.         0.        ]"
7917,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.11375797
 0.         0.         0.         0.90551293 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.15982945 0.37624461 0.         0.         0.        ]"
5849,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.125,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.23203793
 0.         0.         0.         0.82089818 0.         0.40743166
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.32601229 0.         0.         0.         0.        ]"
1955,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.6000000000000001,0.4,0.0,0.155,0.845,0.5106,"[0.         0.         0.         0.         0.22192045 0.5668607
 0.         0.         0.         0.66847536 0.         0.16589026
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.29079599 0.
 0.         0.26547895 0.         0.         0.         0.        ]"
1472,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.8,0.5,0.0,0.588,0.412,0.9287,"[0.         0.         0.         0.         0.         0.19079366
 0.         0.         0.         0.67498522 0.         0.33501152
 0.         0.         0.5691235  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.26806428 0.         0.         0.         0.        ]"
4730,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.5,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.25871027 0.11013908
 0.         0.         0.         0.87670659 0.         0.19339143
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.33900395 0.
 0.         0.         0.         0.         0.         0.        ]"
2166,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
3497,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
165,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.12,0.111,0.769,-0.0258,"[0.         0.44953557 0.         0.         0.         0.12927754
 0.         0.         0.45843672 0.68603244 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.25963303 0.         0.
 0.         0.18163439 0.         0.         0.         0.        ]"
1352,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.5053030303030304,0.05804924242424242,0.0,0.244,0.756,0.4939,"[0.         0.         0.         0.         0.         0.43312232
 0.         0.         0.         0.86191295 0.         0.
 0.         0.         0.21532868 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.15213375 0.         0.         0.         0.        ]"
6431,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.123,0.0,0.877,-0.1027,"[0.         0.         0.         0.         0.         0.13348699
 0.         0.         0.         0.94449412 0.         0.23438766
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.18754865 0.         0.         0.         0.        ]"
634,[0. 0. 0. ... 0. 0. 0.],0,[0. 0. 0. ... 0. 0. 0.],0.4,-0.2,0.264,0.0,0.736,-0.6486,"[0.         0.         0.         0.         0.         0.20136262
 0.         0.         0.         0.97951677 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
4544,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.95305485 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.30279769 0.         0.         0.         0.        ]"
568,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.2606060606060606,0.08484848484848484,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.37831846
 0.         0.         0.         0.78073677 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.46468589 0.1771786  0.         0.         0.         0.        ]"
775,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.5053030303030304,0.05804924242424242,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.56518098
 0.         0.         0.         0.74980636 0.         0.
 0.         0.         0.28098223 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.19851921 0.         0.         0.         0.        ]"
5368,[0. 0. 0. ... 0. 0. 0.],3,[0. 0. 0. ... 0. 0. 0.],0.4,-0.05,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.37995261
 0.         0.         0.         0.78410919 0.         0.22238422
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.25435779 0.         0.
 0.         0.35588786 0.         0.         0.         0.        ]"
3087,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.8666666666666667,0.6,0.128,0.396,0.476,0.8074,"[0.         0.         0.         0.         0.         0.16827776
 0.         0.         0.         0.96740959 0.         0.1477381
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.11821476 0.         0.         0.         0.        ]"
5398,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.2,0.0,0.8,-0.3612,"[0.         0.41036079 0.         0.         0.         0.
 0.         0.         0.41848624 0.52187344 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.47401461 0.36323542 0.
 0.         0.16580585 0.         0.         0.         0.        ]"
2491,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.5,0.5,0.156,0.0,0.844,-0.34,"[0.         0.         0.         0.         0.         0.4870467
 0.         0.         0.         0.32307413 0.         0.21379936
 0.         0.         0.48427485 0.         0.         0.
 0.         0.         0.         0.24453863 0.         0.
 0.44867702 0.34214926 0.         0.         0.         0.        ]"
1993,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.65,0.35,0.0,0.315,0.685,0.3182,"[0.         0.         0.         0.         0.         0.22056185
 0.         0.         0.         0.97537299 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
6275,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.5053030303030304,0.05804924242424242,0.0,0.176,0.824,0.4588,"[0.         0.         0.         0.         0.         0.43312232
 0.         0.         0.         0.86191295 0.         0.
 0.         0.         0.21532868 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.15213375 0.         0.         0.         0.        ]"
1178,[0. 0. 0. ... 0. 0. 0.],0,[0. 0. 0. ... 0. 0. 0.],0.5,0.2,0.086,0.0,0.914,-0.1531,"[0.         0.         0.         0.         0.         0.50615572
 0.         0.         0.         0.71626619 0.         0.17775013
 0.         0.         0.20131005 0.         0.         0.
 0.         0.         0.         0.20330638 0.31158566 0.
 0.         0.14222932 0.         0.         0.         0.        ]"
3628,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.7428571428571429,-0.4107142857142857,0.412,0.164,0.424,-0.6249,"[0.         0.         0.         0.         0.         0.66204951
 0.         0.         0.         0.5855457  0.         0.
 0.         0.         0.32914085 0.         0.         0.
 0.         0.         0.         0.33240484 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
328,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.15207824
 0.         0.         0.         0.53801873 0.         0.80109519
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.21366927 0.         0.         0.         0.        ]"
7112,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.23722065 0.
 0.         0.         0.         0.89320385 0.         0.35465497
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.14189113 0.         0.         0.         0.        ]"
5838,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.06666666666666667,0.03333333333333333,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.34231978
 0.         0.         0.         0.90828799 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.24047891 0.         0.         0.         0.        ]"
6895,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.35714285714285715,0.0,0.0,0.231,0.769,0.4939,"[0.         0.         0.         0.         0.         0.27707787
 0.         0.         0.         0.57180632 0.         0.16217219
 0.         0.         0.36733465 0.45298038 0.         0.44207865
 0.         0.         0.         0.1854887  0.         0.
 0.         0.         0.         0.         0.         0.        ]"
3550,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.06666666666666667,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.43606763
 0.         0.         0.         0.8999139  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
885,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],1.0,-0.6,0.138,0.0,0.862,-0.1531,"[0.         0.         0.         0.         0.         0.10886942
 0.         0.         0.         0.7703112  0.53148733 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.33509598 0.
 0.         0.         0.         0.         0.         0.        ]"
2007,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.75,0.15000000000000002,0.158,0.209,0.633,0.2023,"[0.         0.         0.         0.         0.         0.51877238
 0.         0.         0.45991034 0.22941255 0.         0.
 0.         0.         0.51581998 0.         0.         0.
 0.         0.         0.         0.26046761 0.         0.
 0.         0.36443648 0.         0.         0.         0.        ]"
8697,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.21363636363636362,0.10492424242424242,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.27655472 0.47094353
 0.         0.         0.         0.52065395 0.         0.20673054
 0.         0.         0.23413166 0.         0.         0.
 0.         0.         0.         0.47290696 0.         0.
 0.         0.33083682 0.         0.         0.         0.        ]"
2989,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.5,0.13636363636363635,0.0,0.193,0.807,0.4767,"[0.         0.         0.         0.         0.         0.09520942
 0.         0.         0.         0.842074   0.         0.16717669
 0.         0.         0.18933515 0.46695899 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
8312,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.23333333333333334,0.4166666666666667,0.077,0.209,0.714,0.5267,"[0.         0.         0.         0.         0.22994586 0.19578678
 0.         0.         0.34714401 0.86581217 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.19660304 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
5537,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.6363636363636364,0.42424242424242414,0.0,0.324,0.676,0.6908,"[0.         0.33950063 0.         0.         0.         0.292901
 0.         0.         0.         0.77716357 0.         0.17143338
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.30051276 0.
 0.         0.27434976 0.         0.         0.         0.        ]"
1569,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.625,0.425,0.0,0.356,0.644,0.802,"[0.         0.31387618 0.         0.         0.21202623 0.09026458
 0.         0.         0.         0.8781736  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.27783099 0.
 0.         0.         0.         0.         0.         0.        ]"
1415,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.5333333333333333,0.2333333333333333,0.0,0.219,0.781,0.4215,"[0.         0.         0.         0.         0.         0.24368232
 0.         0.         0.         0.96985511 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
8983,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.9,0.6,0.355,0.0,0.645,-0.6705,"[0.         0.         0.         0.         0.         0.11113163
 0.         0.         0.39408872 0.88460731 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.22318991 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
5058,[0. 0. 0. ... 0. 0. 0.],0,[0. 0. 0. ... 0. 0. 0.],0.2,0.2,0.17,0.201,0.629,0.128,"[0.         0.         0.         0.         0.         0.27631784
 0.         0.         0.         0.73316294 0.         0.48518204
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.38822538 0.         0.         0.         0.        ]"
6831,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.6000000000000001,0.7,0.076,0.326,0.598,0.6808,"[0.         0.         0.         0.         0.         0.36241864
 0.         0.         0.         0.74792429 0.         0.21212168
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.48523949 0.         0.
 0.         0.16973221 0.         0.         0.         0.        ]"
579,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.5053030303030304,0.05804924242424242,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.47143056
 0.         0.         0.         0.83390783 0.         0.
 0.         0.         0.2343738  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.16558948 0.         0.         0.         0.        ]"
1666,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],1.0,0.1,0.0,0.0,1.0,0.0,"[0.         0.52697601 0.         0.         0.         0.30309576
 0.         0.         0.         0.53614243 0.         0.26610048
 0.         0.         0.3013708  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.42584823 0.         0.         0.         0.        ]"
1843,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.5053030303030304,0.05804924242424242,0.0,0.123,0.877,0.2732,"[0.         0.         0.         0.         0.         0.51491655
 0.         0.         0.         0.81974671 0.         0.
 0.         0.         0.20479444 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.14469111 0.         0.         0.         0.        ]"
529,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.75,-0.24999999999999997,0.171,0.182,0.647,0.0516,"[0.         0.         0.         0.         0.         0.37190152
 0.         0.         0.         0.87713615 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.24896802 0.         0.
 0.         0.17417335 0.         0.         0.         0.        ]"
3760,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.3972222222222222,0.2111111111111111,0.0,0.177,0.823,0.4215,"[0.         0.         0.         0.         0.         0.63236185
 0.         0.         0.         0.55928862 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.40719341
 0.         0.         0.34858033 0.         0.         0.        ]"
7433,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.5070707070707071,0.05656565656565656,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.57051846
 0.         0.         0.40462807 0.60550993 0.         0.20035283
 0.         0.         0.22690863 0.         0.         0.
 0.         0.         0.         0.22915881 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
2522,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.4,0.8,0.0,0.307,0.693,0.7351,"[0.         0.         0.         0.         0.         0.32692065
 0.         0.         0.         0.77104798 0.         0.1913449
 0.         0.         0.21670673 0.         0.         0.
 0.         0.         0.         0.4377115  0.         0.
 0.         0.15310737 0.         0.         0.         0.        ]"
3484,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.3,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.35266908
 0.         0.         0.         0.93574811 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
7372,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],1.0,1.0,0.0,0.369,0.631,0.6249,"[0.         0.         0.         0.         0.         0.19759154
 0.         0.         0.         0.87379321 0.         0.34694779
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.27761526 0.         0.         0.         0.        ]"
1488,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.75,0.45,0.0,0.379,0.621,0.7717,"[0.         0.         0.         0.         0.         0.21653946
 0.         0.         0.         0.95758509 0.         0.19010907
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
3967,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.3,1.0,0.0,0.44,0.56,0.6705,"[0.         0.         0.         0.         0.         0.15660677
 0.         0.63185644 0.         0.55403963 0.         0.27498329
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.44006366 0.         0.         0.         0.        ]"
2435,[0. 0. 0. ... 0. 0. 0.],0,[0. 0. 0. ... 0. 0. 0.],1.0,-0.6,0.441,0.0,0.559,-0.7845,"[0.         0.         0.         0.         0.         0.34538781
 0.         0.         0.         0.91642849 0.         0.20215363
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
6087,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.157,0.843,0.0772,"[0.         0.         0.         0.         0.         0.18747484
 0.         0.         0.         0.82905495 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.52680269 0.         0.         0.         0.        ]"
4542,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.58967752 0.7353576  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.33396052 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
624,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.08333333333333334,-0.03333333333333334,0.195,0.0,0.805,-0.4404,"[0.         0.         0.         0.         0.         0.23561722
 0.         0.         0.         0.7293658  0.         0.62057472
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.16552059 0.         0.         0.         0.        ]"
3404,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.3,0.2,0.0,0.6,0.4,0.4588,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
3850,[0. 0. 0. ... 0. 0. 0.],0,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.255,0.0,0.745,-0.34,"[0.         0.         0.         0.         0.38250277 0.
 0.         0.         0.         0.86413962 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.32703875 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
1804,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.9,-0.6,0.194,0.0,0.806,-0.34,"[0.         0.         0.         0.         0.         0.4243402
 0.         0.         0.         0.50040684 0.         0.49672807
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.56814577 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
2937,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.152,0.848,0.3612,"[0.         0.         0.         0.         0.         0.1827831
 0.         0.         0.         0.96996844 0.         0.16047295
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
4855,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.5053030303030304,0.05804924242424242,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.56518098
 0.         0.         0.         0.74980636 0.         0.
 0.         0.         0.28098223 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.19851921 0.         0.         0.         0.        ]"
2417,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.5,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.25463456
 0.         0.51368306 0.         0.78823499 0.         0.22355436
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
3536,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.92073785 0.         0.30465634
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.24377514 0.         0.         0.         0.        ]"
